2015-09-30 04:12:29 182.118.20.173  login    direct.danmaku.us Acfun2.1111 "http://direct.danmaku.us/Acfun2/1111?action=login" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:12:44 66.249.75.144   browse   danmaku.us Acfun2.1010 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:47 101.226.167.236 login    direct.danmaku.us Bilibili2.1060 "http://direct.danmaku.us/Bilibili2/1060?action=login" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:12:48 66.249.75.135   browse   danmaku.us Acfun2.1113 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:52 66.249.75.252   browse   danmaku.us Acfun2.1071 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:55 66.249.75.144   browse   danmaku.us Acfun2.1045 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:59 66.249.75.252   browse   danmaku.us Acfun2.1177 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:03 66.249.75.252   browse   danmaku.us Acfun2.1074 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:07 66.249.75.252   browse   danmaku.us Acfun2.1198 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:12 66.249.75.252   browse   danmaku.us Acfun2.1154 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:21 66.249.75.135   browse   danmaku.us Acfun2.1155 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:29 66.249.75.144   browse   danmaku.us Acfun2.1103 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:37 66.249.75.135   browse   danmaku.us Acfun2.1130 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:45 66.249.75.252   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:53 66.249.64.253   browse   danmaku.us Acfun2.1081 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:01 66.249.75.144   browse   danmaku.us Acfun2.1034 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:09 66.249.75.144   browse   danmaku.us Acfun2.1065 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:17 66.249.75.135   browse   danmaku.us Acfun2.1085 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:25 66.249.75.252   browse   danmaku.us Acfun2.1143 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:33 66.249.75.135   browse   danmaku.us Acfun2.1042 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:41 66.249.75.144   browse   danmaku.us Acfun2.1006 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:42 101.226.168.223 browse   direct.danmaku.us Acfun2.1196 "http://direct.danmaku.us/Acfun2/1196?Player=ac20110209" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:14:49 66.249.75.135   browse   danmaku.us Acfun2.1098 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:58 66.249.75.144   browse   danmaku.us Acfun2.1186 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:15:06 66.249.75.252   browse   danmaku.us Acfun2.1022 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:15:14 66.249.75.135   browse   danmaku.us Acfun2.1161 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:15:22 66.249.75.144   browse   danmaku.us Acfun2.1174 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:15:30 66.249.75.144   browse   danmaku.us Acfun2.1014 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:15:38 66.249.75.144   browse   danmaku.us Acfun2.1168 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:15:46 66.249.75.135   browse   danmaku.us Acfun2.1097 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:15:54 66.249.75.144   browse   danmaku.us Acfun2.1020 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:02 66.249.75.252   browse   danmaku.us Acfun2.1050 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:10 66.249.75.252   browse   danmaku.us Acfun2.1157 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:18 66.249.75.135   browse   danmaku.us Acfun2.1080 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:27 66.249.75.135   browse   danmaku.us Acfun2.1086 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:35 66.249.75.252   browse   danmaku.us Acfun2.1057 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:43 66.249.75.135   browse   danmaku.us Acfun2.1100 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:51 66.249.75.252   browse   danmaku.us Acfun2.1082 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:16:59 66.249.75.144   browse   danmaku.us Acfun2.1132 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:17:08 66.249.75.144   browse   danmaku.us Acfun2.1059 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:17:16 66.249.75.252   browse   danmaku.us Acfun2.1019 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:17:46 66.249.75.135   browse   danmaku.us Acfun2.1006 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:17:46 66.249.75.144   browse   danmaku.us Acfun2.1006 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:17:47 66.249.75.144   browse   danmaku.us Acfun2.1019 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:17:54 66.249.75.252   browse   danmaku.us Acfun2.1132 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:00 182.118.22.206  browse   www.danmaku.us Acfun2.1005 "http://www.danmaku.us/Acfun2/1005?Player=acold" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:18:02 66.249.75.144   browse   danmaku.us Acfun2.1014 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:03 101.226.167.198 browse   www.danmaku.us Acfun2.1117 "http://www.danmaku.us/Acfun2/1117?Player=acold09" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:18:09 66.249.75.252   browse   danmaku.us Acfun2.1132 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:17 66.249.75.135   browse   danmaku.us Acfun2.1103 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:19 182.118.21.235  diff     danmaku.us Acfun2.1050 "http://danmaku.us/Acfun2/1050?action=diff&minor=y&source=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:18:20 182.118.21.233  login    danmaku.us Acfun2.1007 "http://danmaku.us/Acfun2/1007?action=login" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:18:25 66.249.75.135   browse   danmaku.us Acfun2.1143 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:32 66.249.75.252   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:40 66.249.75.135   browse   danmaku.us Acfun2.1050 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:47 66.249.75.135   browse   danmaku.us Acfun2.1157 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:18:55 66.249.75.144   browse   danmaku.us Acfun2.1014 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:02 66.249.75.135   browse   danmaku.us Acfun2.1019 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:10 66.249.75.252   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:18 66.249.75.135   browse   danmaku.us Acfun2.1103 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:22 101.226.168.224 browse   danmaku.us Acfun2.1208 "http://danmaku.us/Acfun2/1208?Player=ac20110209" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:19:25 66.249.75.252   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:29 183.192.92.28   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/8.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)"
2015-09-30 04:19:30 183.192.92.28   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/8.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)"
2015-09-30 04:19:33 66.249.75.144   browse   danmaku.us Acfun2.1081 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:40 66.249.75.135   browse   danmaku.us Acfun2.1186 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:48 66.249.75.144   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:19:52 101.226.168.228 diff     danmaku.us Acfun2.1097 "http://danmaku.us/Acfun2/1097?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
